구  분,관  용,자가용,영업용,
포곡읍,5,"15,787",495,  
모현읍, - ,"13,743",584,  
이동읍,9,"10,924",880,  
남사면,23,"11,613",196,  
원삼면,2,"4,829",534,  
백암면,2,"4,787","1,279",  
양지면,1,"10,303",699,  
김량장동,20,"8,745",342,  
남동, - ,"2,238",746,  
역북동,76,"12,304",301,  
삼가동,563,"5,396",214,  
유방동, - ,"5,495",312,  
고림동, - ,"9,594",251,  
마평동, - ,"5,147",276,
운학동,1,784,16,  
호동, - ,330,2,  
해곡동, - ,156, - ,  
신갈동,44,"13,596",540,  
영덕동,3,"21,634","2,647",  
하갈동, - ,"2,409",579,  
구갈동,2,"16,296",853,  
상갈동, - ,"5,214",212,  
보라동,1,"10,657",389,  
지곡동, - ,"2,293",163,  
공세동,1,"7,308",101,  
고매동,0,"2,874",192,  
농서동, - ,"1,701",183,  
서천동, - ,"8,772",146,  
언남동,3,"8,740",335,  
청덕동,18,"6,673",193,  
마북동,2,"13,390",187,  
동백동,1,"13,311",143,  
중동, - ,"18,190",380,  
상하동, - ,"10,411",266,  
보정동,39,"15,093",930,  
풍덕천동,24,"27,050",591,  
신봉동, - ,"14,779",60,
죽전동,18,"27,418",546,  
동천동,1,"15,466",735,  
고기동,1,"1,597",1,  
상현동,1,"30,887",272,  
성복동, - ,"16,744",34,  
